Strategy,Agent_Count,Trial,Completion_Time,Coverage,Avg_Path_Length,Avg_Idle_Time
stigmergy,3,1,40,0.26644736842105265,40.0,0.0
stigmergy,3,2,80,0.40752351097178685,80.0,0.0
stigmergy,3,3,146,0.449685534591195,146.0,0.0
stigmergy,3,4,163,0.4744744744744745,163.0,0.0
stigmergy,3,5,389,0.7492260061919505,389.0,0.0
stigmergy,5,1,467,0.9585987261146497,467.0,0.0
stigmergy,5,2,168,0.6038338658146964,168.0,0.0
stigmergy,5,3,22,0.28703703703703703,22.0,0.0
stigmergy,5,4,72,0.4570552147239264,72.0,0.0
stigmergy,5,5,777,0.9969418960244648,777.0,0.0
stigmergy,10,1,17,0.4537037037037037,17.0,0.0
stigmergy,10,2,268,0.7147335423197492,268.0,0.0
stigmergy,10,3,192,0.8376623376623377,192.0,0.0
stigmergy,10,4,52,0.7216828478964401,52.0,0.0
stigmergy,10,5,180,0.8717948717948718,180.0,0.0
