Strategy,Agent_Count,Trial,Completion_Time,Coverage,Avg_Path_Length,Avg_Idle_Time
stigmergy,3,1,372,0.6547231270358306,372.0,0.0
stigmergy,3,2,107,0.5784615384615385,107.0,0.0
stigmergy,3,3,67,0.3464052287581699,67.0,0.0
stigmergy,3,4,140,0.5534591194968553,140.0,0.0
stigmergy,3,5,336,0.678125,336.0,0.0
stigmergy,5,1,232,0.8643533123028391,232.0,0.0
stigmergy,5,2,167,0.6509433962264151,167.0,0.0
stigmergy,5,3,442,0.9046052631578947,442.0,0.0
stigmergy,5,4,19,0.2791411042944785,19.0,0.0
stigmergy,5,5,230,0.7696969696969697,230.0,0.0
stigmergy,10,1,22,0.43125,22.0,0.0
stigmergy,10,2,89,0.7415384615384616,89.0,0.0
stigmergy,10,3,24,0.5632530120481928,24.0,0.0
stigmergy,10,4,155,0.8146964856230032,155.0,0.0
stigmergy,10,5,13,0.35443037974683544,13.0,0.0
