Strategy,Agent_Count,Trial,Completion_Time,Coverage,Avg_Path_Length,Avg_Idle_Time
stigmergy,3,1,161,0.5566343042071198,161.0,0.0
stigmergy,3,2,286,0.6231454005934718,286.0,0.0
stigmergy,3,3,20,0.15457413249211358,20.0,0.0
stigmergy,3,4,135,0.6018518518518519,135.0,0.0
stigmergy,3,5,23,0.21656050955414013,23.0,0.0
stigmergy,5,1,562,0.8080495356037152,562.0,0.0
stigmergy,5,2,22,0.32398753894080995,22.0,0.0
stigmergy,5,3,162,0.6206896551724138,162.0,0.0
stigmergy,5,4,218,0.636094674556213,218.0,0.0
stigmergy,5,5,99,0.603125,99.0,0.0
stigmergy,10,1,36,0.7210031347962382,36.0,0.0
stigmergy,10,2,27,0.5244299674267101,27.0,0.0
stigmergy,10,3,15,0.428125,15.0,0.0
stigmergy,10,4,38,0.6646153846153846,38.0,0.0
stigmergy,10,5,241,0.7280966767371602,241.0,0.0
