Phase,Strategy,Agent_Count,Obstacle_Density,Victim_Count,Trial,Completion_Time,Coverage,Avg_Path_Length,Avg_Idle_Time,Victims_Rescued,Victims_Total,Success_Rate
1,basic,3,0.15,10,1,26,0.13620071684587814,17.333333333333332,8.666666666666666,9,9,1.0
1,basic,3,0.15,10,2,30,0.2809364548494983,30.0,0.0,10,10,1.0
1,basic,3,0.15,10,3,22,0.22535211267605634,22.0,0.0,10,10,1.0
1,basic,3,0.15,10,4,64,0.36824324324324326,64.0,0.0,9,9,1.0
1,basic,3,0.15,10,5,91,0.3620689655172414,91.0,0.0,10,10,1.0
1,basic,5,0.15,10,1,61,0.41836734693877553,61.0,0.0,9,9,1.0
1,basic,5,0.15,10,2,28,0.36363636363636365,28.0,0.0,10,10,1.0
1,basic,5,0.15,10,3,96,0.5084745762711864,96.0,0.0,10,10,1.0
1,basic,5,0.15,10,4,15,0.20677966101694914,15.0,0.0,10,10,1.0
1,basic,5,0.15,10,5,29,0.2837370242214533,29.0,0.0,10,10,1.0
1,basic,10,0.15,10,1,17,0.41935483870967744,17.0,0.0,10,10,1.0
1,basic,10,0.15,10,2,42,0.4639175257731959,42.0,0.0,10,10,1.0
1,basic,10,0.15,10,3,16,0.3723404255319149,16.0,0.0,10,10,1.0
1,basic,10,0.15,10,4,133,0.6185185185185185,133.0,0.0,10,10,1.0
1,basic,10,0.15,10,5,6,0.21724137931034482,6.0,0.0,10,10,1.0
1,stigmergy,3,0.15,10,1,23,0.1986062717770035,23.0,0.0,10,10,1.0
1,stigmergy,3,0.15,10,2,57,0.450354609929078,57.0,0.0,10,10,1.0
1,stigmergy,3,0.15,10,3,200,0.5488215488215489,200.0,0.0,10,10,1.0
1,stigmergy,3,0.15,10,4,32,0.3025830258302583,32.0,0.0,9,9,1.0
1,stigmergy,3,0.15,10,5,105,0.39492753623188404,105.0,0.0,9,9,1.0
1,stigmergy,5,0.15,10,1,37,0.36879432624113473,37.0,0.0,9,9,1.0
1,stigmergy,5,0.15,10,2,36,0.4708029197080292,36.0,0.0,10,10,1.0
1,stigmergy,5,0.15,10,3,1000,0.9479553903345725,1000.0,0.0,15,9,1.6666666666666667
1,stigmergy,5,0.15,10,4,16,0.22580645161290322,16.0,0.0,9,9,1.0
1,stigmergy,5,0.15,10,5,104,0.5719063545150501,104.0,0.0,9,9,1.0
1,stigmergy,10,0.15,10,1,16,0.4054982817869416,16.0,0.0,10,10,1.0
1,stigmergy,10,0.15,10,2,19,0.41605839416058393,19.0,0.0,9,9,1.0
1,stigmergy,10,0.15,10,3,9,0.26885245901639343,9.0,0.0,10,10,1.0
1,stigmergy,10,0.15,10,4,1000,0.9597069597069597,1000.0,0.0,17,9,1.8888888888888888
1,stigmergy,10,0.15,10,5,1000,0.9595959595959596,1000.0,0.0,17,9,1.8888888888888888
1,communication,3,0.15,10,1,24,0.20350877192982456,24.0,0.0,9,9,1.0
1,communication,3,0.15,10,2,26,0.23655913978494625,26.0,0.0,10,10,1.0
1,communication,3,0.15,10,3,1000,0.9825174825174825,1000.3333333333334,0.0,19,10,1.9
1,communication,3,0.15,10,4,72,0.33687943262411346,72.33333333333333,0.0,10,10,1.0
1,communication,3,0.15,10,5,28,0.17123287671232876,28.0,0.0,10,10,1.0
1,communication,5,0.15,10,1,1000,0.9187279151943463,1000.4,0.0,18,10,1.8
1,communication,5,0.15,10,2,20,0.24482758620689654,20.0,0.0,10,10,1.0
1,communication,5,0.15,10,3,18,0.1958041958041958,18.0,0.0,10,10,1.0
1,communication,5,0.15,10,4,19,0.303886925795053,19.0,0.0,9,9,1.0
1,communication,5,0.15,10,5,19,0.2508591065292096,19.0,0.0,10,10,1.0
1,communication,10,0.15,10,1,1000,0.9390681003584229,1000.0,0.0,18,9,2.0
1,communication,10,0.15,10,2,10,0.25170068027210885,10.0,0.0,10,10,1.0
1,communication,10,0.15,10,3,99,0.5205479452054794,99.1,0.0,10,10,1.0
1,communication,10,0.15,10,4,4,0.16140350877192983,4.0,0.0,10,10,1.0
1,communication,10,0.15,10,5,9,0.27177700348432055,9.0,0.0,10,10,1.0
