Phase,Strategy,Agent_Count,Obstacle_Density,Victim_Count,Trial,Completion_Time,Coverage,Avg_Path_Length,Avg_Idle_Time,Victims_Rescued,Victims_Total,Success_Rate
2,basic,5,0.05,10,1,7,0.1368421052631579,7.0,0.0,9,9,1.0
2,basic,5,0.05,10,2,33,0.3050847457627119,33.0,0.0,9,9,1.0
2,basic,5,0.05,10,3,18,0.21453287197231835,18.0,0.0,10,10,1.0
2,basic,5,0.15,10,1,12,0.1672473867595819,12.0,0.0,9,9,1.0
2,basic,5,0.15,10,2,1000,0.9212328767123288,1000.0,0.0,18,9,2.0
2,basic,5,0.15,10,3,30,0.3543859649122807,30.0,0.0,10,10,1.0
2,basic,5,0.25,10,1,1000,0.9834437086092715,1000.0,0.0,20,10,2.0
2,basic,5,0.25,10,2,26,0.3464285714285714,26.0,0.0,10,10,1.0
2,basic,5,0.25,10,3,181,0.5757575757575758,144.8,36.2,9,9,1.0
2,stigmergy,5,0.05,10,1,21,0.18947368421052632,21.0,0.0,10,10,1.0
2,stigmergy,5,0.05,10,2,12,0.17880794701986755,12.0,0.0,10,10,1.0
2,stigmergy,5,0.05,10,3,144,0.5052264808362369,144.0,0.0,10,10,1.0
2,stigmergy,5,0.15,10,1,38,0.41638225255972694,38.0,0.0,9,9,1.0
2,stigmergy,5,0.15,10,2,52,0.43252595155709345,52.0,0.0,9,9,1.0
2,stigmergy,5,0.15,10,3,10,0.16666666666666666,10.0,0.0,10,10,1.0
2,stigmergy,5,0.25,10,1,20,0.3010752688172043,20.0,0.0,9,9,1.0
2,stigmergy,5,0.25,10,2,54,0.5017667844522968,54.0,0.0,10,10,1.0
2,stigmergy,5,0.25,10,3,25,0.3197278911564626,25.0,0.0,9,9,1.0
2,communication,5,0.05,10,1,9,0.16319444444444445,9.2,0.0,10,10,1.0
2,communication,5,0.05,10,2,16,0.20198675496688742,16.2,0.0,10,10,1.0
2,communication,5,0.05,10,3,16,0.20469798657718122,16.2,0.0,9,9,1.0
2,communication,5,0.15,10,1,21,0.2668918918918919,21.2,0.0,10,10,1.0
2,communication,5,0.15,10,2,21,0.24912280701754386,17.0,4.2,10,10,1.0
2,communication,5,0.15,10,3,13,0.15384615384615385,10.4,2.6,10,10,1.0
2,communication,5,0.25,10,1,22,0.23432343234323433,22.2,0.0,10,10,1.0
2,communication,5,0.25,10,2,1000,0.9605734767025089,1000.0,0.0,20,10,2.0
2,communication,5,0.25,10,3,37,0.3368421052631579,37.0,0.0,10,10,1.0
