Phase,Strategy,Agent_Count,Obstacle_Density,Victim_Count,Trial,Completion_Time,Coverage,Avg_Path_Length,Avg_Idle_Time,Victims_Rescued,Victims_Total,Success_Rate
1,basic,3,0.15,10,1,25,0.11666666666666667,16.666666666666668,8.333333333333334,10,10,1.0
1,basic,3,0.15,10,2,16,0.1245674740484429,16.0,0.0,10,10,1.0
1,basic,3,0.15,10,3,213,0.6462585034013606,213.0,0.0,10,10,1.0
1,basic,3,0.15,10,4,141,0.4429530201342282,141.0,0.0,10,10,1.0
1,basic,3,0.15,10,5,151,0.519298245614035,151.0,0.0,9,9,1.0
1,basic,5,0.15,10,1,13,0.17627118644067796,13.0,0.0,9,9,1.0
1,basic,5,0.15,10,2,215,0.554006968641115,215.0,0.0,10,10,1.0
1,basic,5,0.15,10,3,18,0.2619047619047619,18.0,0.0,10,10,1.0
1,basic,5,0.15,10,4,37,0.3776978417266187,37.0,0.0,9,9,1.0
1,basic,5,0.15,10,5,182,0.6062717770034843,182.0,0.0,10,10,1.0
1,basic,10,0.15,10,1,24,0.35986159169550175,24.0,0.0,9,9,1.0
1,basic,10,0.15,10,2,9,0.24820143884892087,9.0,0.0,9,9,1.0
1,basic,10,0.15,10,3,6,0.16225165562913907,6.0,0.0,10,10,1.0
1,basic,10,0.15,10,4,8,0.2465277777777778,8.0,0.0,9,9,1.0
1,basic,10,0.15,10,5,1000,0.975,1000.0,0.0,16,9,1.7777777777777777
1,stigmergy,3,0.15,10,1,99,0.49,99.0,0.0,9,9,1.0
1,stigmergy,3,0.15,10,2,88,0.33807829181494664,88.0,0.0,9,9,1.0
1,stigmergy,3,0.15,10,3,68,0.4057971014492754,68.0,0.0,10,10,1.0
1,stigmergy,3,0.15,10,4,87,0.5290102389078498,87.0,0.0,9,9,1.0
1,stigmergy,3,0.15,10,5,27,0.2746478873239437,27.0,0.0,10,10,1.0
1,stigmergy,5,0.15,10,1,50,0.5376344086021505,50.0,0.0,9,9,1.0
1,stigmergy,5,0.15,10,2,20,0.2608695652173913,20.0,0.0,10,10,1.0
1,stigmergy,5,0.15,10,3,84,0.4809688581314879,67.2,16.8,10,10,1.0
1,stigmergy,5,0.15,10,4,212,0.6630434782608695,212.0,0.0,10,10,1.0
1,stigmergy,5,0.15,10,5,7,0.09665427509293681,7.0,0.0,9,9,1.0
1,stigmergy,10,0.15,10,1,13,0.3284132841328413,11.7,1.3,10,10,1.0
1,stigmergy,10,0.15,10,2,8,0.2653061224489796,8.0,0.0,10,10,1.0
1,stigmergy,10,0.15,10,3,13,0.4090909090909091,13.0,0.0,9,9,1.0
1,stigmergy,10,0.15,10,4,9,0.29347826086956524,9.0,0.0,10,10,1.0
1,stigmergy,10,0.15,10,5,11,0.35789473684210527,11.0,0.0,9,9,1.0
1,communication,3,0.15,10,1,24,0.2112676056338028,24.0,0.0,10,10,1.0
1,communication,3,0.15,10,2,16,0.13523131672597866,16.0,0.0,10,10,1.0
1,communication,3,0.15,10,3,363,0.7647058823529411,363.0,0.0,10,10,1.0
1,communication,3,0.15,10,4,74,0.375,74.0,0.0,9,9,1.0
1,communication,3,0.15,10,5,48,0.3475177304964539,48.333333333333336,0.0,9,9,1.0
1,communication,5,0.15,10,1,10,0.14285714285714285,10.0,0.0,9,9,1.0
1,communication,5,0.15,10,2,143,0.5034722222222222,143.0,0.0,9,9,1.0
1,communication,5,0.15,10,3,14,0.13087248322147652,14.0,0.0,9,9,1.0
1,communication,5,0.15,10,4,1000,0.993103448275862,1000.4,0.0,16,9,1.7777777777777777
1,communication,5,0.15,10,5,17,0.2711267605633803,17.0,0.0,10,10,1.0
1,communication,10,0.15,10,1,4,0.16666666666666666,4.1,0.0,7,7,1.0
1,communication,10,0.15,10,2,9,0.28027681660899656,9.0,0.0,10,10,1.0
1,communication,10,0.15,10,3,1000,0.9967105263157895,1000.3,0.0,19,9,2.111111111111111
1,communication,10,0.15,10,4,1000,0.9792387543252595,1000.4,0.0,16,9,1.7777777777777777
1,communication,10,0.15,10,5,13,0.3275862068965517,13.1,0.0,10,10,1.0
