Phase,Strategy,Agent_Count,Obstacle_Density,Victim_Count,Trial,Completion_Time,Coverage,Avg_Path_Length,Avg_Idle_Time,Victims_Rescued,Victims_Total,Success_Rate
2,basic,5,0.05,10,1,125,0.5079365079365079,125.0,0.0,10,10,1.0
2,basic,5,0.05,10,2,1000,1.0,1000.0,0.0,19,9,2.111111111111111
2,basic,5,0.05,10,3,185,0.6325966850828729,185.0,0.0,10,10,1.0
2,basic,5,0.15,10,1,140,0.5317220543806647,140.0,0.0,10,10,1.0
2,basic,5,0.15,10,2,1000,0.9932432432432432,1000.0,0.0,19,10,1.9
2,basic,5,0.15,10,3,7,0.12542372881355932,7.0,0.0,9,9,1.0
2,basic,5,0.25,10,1,26,0.2698412698412698,15.6,20.8,9,9,1.0
2,basic,5,0.25,10,2,127,0.5135135135135135,127.0,0.0,10,10,1.0
2,basic,5,0.25,10,3,23,0.2324561403508772,18.4,4.6,9,9,1.0
2,stigmergy,5,0.05,10,1,1000,0.9052631578947369,1000.0,0.0,19,10,1.9
2,stigmergy,5,0.05,10,2,13,0.1564245810055866,13.0,0.0,10,10,1.0
2,stigmergy,5,0.05,10,3,44,0.41260744985673353,44.0,0.0,10,10,1.0
2,stigmergy,5,0.15,10,1,131,0.5498392282958199,131.0,0.0,10,10,1.0
2,stigmergy,5,0.15,10,2,41,0.3583617747440273,41.0,0.0,10,10,1.0
2,stigmergy,5,0.15,10,3,12,0.17667844522968199,12.0,0.0,10,10,1.0
2,stigmergy,5,0.25,10,1,19,0.2593984962406015,19.0,0.0,10,10,1.0
2,stigmergy,5,0.25,10,2,21,0.35135135135135137,21.0,0.0,10,10,1.0
2,stigmergy,5,0.25,10,3,17,0.2575107296137339,17.0,0.0,9,9,1.0
2,communication,5,0.05,10,1,11,0.1978798586572438,11.0,0.0,9,9,1.0
2,communication,5,0.05,10,2,86,0.3649025069637883,86.2,0.0,10,10,1.0
2,communication,5,0.05,10,3,19,0.1797752808988764,19.2,0.0,10,10,1.0
2,communication,5,0.15,10,1,1000,0.9969604863221885,1000.0,0.0,18,9,2.0
2,communication,5,0.15,10,2,16,0.21428571428571427,16.4,0.0,10,10,1.0
2,communication,5,0.15,10,3,48,0.3152542372881356,48.4,0.0,10,10,1.0
2,communication,5,0.25,10,1,1000,0.9227799227799228,1000.2,0.0,18,10,1.8
2,communication,5,0.25,10,2,1000,0.4297872340425532,1000.2,0.0,9,10,0.9
2,communication,5,0.25,10,3,1000,0.48325358851674644,1000.0,0.0,7,8,0.875
