Phase,Strategy,Agent_Count,Obstacle_Density,Victim_Count,Trial,Completion_Time,Coverage,Avg_Path_Length,Avg_Idle_Time,Victims_Rescued,Victims_Total,Success_Rate
1,basic,3,0.15,10,1,218,0.4074074074074074,218.0,0.0,10,10,1.0
1,basic,3,0.15,10,2,12,0.11258278145695365,12.0,0.0,10,10,1.0
1,basic,3,0.15,10,3,9,0.09621993127147767,9.0,0.0,10,10,1.0
1,basic,3,0.15,10,4,151,0.4899328859060403,151.0,0.0,10,10,1.0
1,basic,3,0.15,10,5,96,0.37800687285223367,96.0,0.0,9,9,1.0
1,basic,5,0.15,10,1,55,0.3961038961038961,55.0,0.0,10,10,1.0
1,basic,5,0.15,10,2,10,0.11721611721611722,6.0,4.0,9,9,1.0
1,basic,5,0.15,10,3,97,0.6430976430976431,97.0,0.0,10,10,1.0
1,basic,5,0.15,10,4,16,0.23344947735191637,16.0,0.0,9,9,1.0
1,basic,5,0.15,10,5,1000,0.9664429530201343,1000.0,0.0,19,10,1.9
1,basic,10,0.15,10,1,11,0.2837370242214533,11.0,0.0,10,10,1.0
1,basic,10,0.15,10,2,39,0.4928571428571429,39.0,0.0,10,10,1.0
1,basic,10,0.15,10,3,1000,0.9370629370629371,1000.0,0.0,18,9,2.0
1,basic,10,0.15,10,4,8,0.271523178807947,8.0,0.0,9,9,1.0
1,basic,10,0.15,10,5,5,0.18620689655172415,4.5,0.5,10,10,1.0
1,stigmergy,3,0.15,10,1,19,0.1705685618729097,19.0,0.0,9,9,1.0
1,stigmergy,3,0.15,10,2,49,0.250814332247557,49.0,0.0,9,9,1.0
1,stigmergy,3,0.15,10,3,297,0.6363636363636364,198.0,99.0,10,10,1.0
1,stigmergy,3,0.15,10,4,16,0.15625,16.0,0.0,10,10,1.0
1,stigmergy,3,0.15,10,5,14,0.1505016722408027,14.0,0.0,10,10,1.0
1,stigmergy,5,0.15,10,1,7,0.12624584717607973,7.0,0.0,10,10,1.0
1,stigmergy,5,0.15,10,2,46,0.3942652329749104,46.0,0.0,10,10,1.0
1,stigmergy,5,0.15,10,3,11,0.18983050847457628,11.0,0.0,10,10,1.0
1,stigmergy,5,0.15,10,4,258,0.75,258.0,0.0,9,9,1.0
1,stigmergy,5,0.15,10,5,153,0.4154929577464789,153.0,0.0,10,10,1.0
1,stigmergy,10,0.15,10,1,25,0.42567567567567566,25.0,0.0,10,10,1.0
1,stigmergy,10,0.15,10,2,10,0.35018050541516244,10.0,0.0,10,10,1.0
1,stigmergy,10,0.15,10,3,81,0.6323024054982818,72.9,8.1,10,10,1.0
1,stigmergy,10,0.15,10,4,69,0.5422535211267606,69.0,0.0,9,9,1.0
1,stigmergy,10,0.15,10,5,1000,0.9933333333333333,1000.0,0.0,19,10,1.9
1,communication,3,0.15,10,1,62,0.31756756756756754,62.333333333333336,0.0,10,10,1.0
1,communication,3,0.15,10,2,67,0.3357664233576642,67.66666666666667,0.0,10,10,1.0
1,communication,3,0.15,10,3,1000,1.0,1000.0,0.0,19,9,2.111111111111111
1,communication,3,0.15,10,4,24,0.16666666666666666,24.0,0.0,9,9,1.0
1,communication,3,0.15,10,5,10,0.10472972972972973,10.0,0.0,9,9,1.0
1,communication,5,0.15,10,1,1000,0.9717314487632509,1000.4,0.0,18,10,1.8
1,communication,5,0.15,10,2,13,0.1554054054054054,13.2,0.0,10,10,1.0
1,communication,5,0.15,10,3,21,0.2627986348122867,21.0,0.0,10,10,1.0
1,communication,5,0.15,10,4,13,0.16783216783216784,13.2,0.0,9,9,1.0
1,communication,5,0.15,10,5,1000,0.9897959183673469,1000.2,0.0,17,10,1.7
1,communication,10,0.15,10,1,18,0.3673469387755102,18.0,0.0,9,9,1.0
1,communication,10,0.15,10,2,1000,0.9724137931034482,1001.0,0.0,15,9,1.6666666666666667
1,communication,10,0.15,10,3,9,0.2518248175182482,9.6,0.0,10,10,1.0
1,communication,10,0.15,10,4,1000,0.9933110367892977,1001.4,0.0,16,9,1.7777777777777777
1,communication,10,0.15,10,5,8,0.2572463768115942,8.0,0.0,10,10,1.0
